ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND
1820:12.01.2022,17.10.2021,09,17.10.2021,18,01100415,235,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1821:12.01.2022,07.01.2022,15,07.01.2022,19,10400837,359,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1822:12.01.2022,29.12.2021,16,29.12.2021,18,02200212,2492,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1823:12.01.2022,07.01.2022,19,08.01.2022,10,03701556,699,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1824:12.01.2022,10.01.2022,09,11.01.2022,09,07601544,933,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1825:12.01.2022,11.01.2022,17,11.01.2022,19,11200512,2690,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1826:12.01.2022,18.12.2021,22,19.12.2021,01,02300316,999,Nein,Rennrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1827:12.01.2022,10.01.2022,14,10.01.2022,15,06400844,419,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1828:12.01.2022,12.01.2022,13,12.01.2022,14,03400723,1269,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1829:12.01.2022,12.01.2022,08,12.01.2022,14,08100312,2500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1830:12.01.2022,12.01.2022,06,12.01.2022,16,03200309,632,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1831:12.01.2022,12.01.2022,09,12.01.2022,15,03601347,971,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1832:12.01.2022,12.01.2022,06,12.01.2022,09,11401136,1159,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1833:12.01.2022,12.01.2022,16,12.01.2022,19,01400938,1750,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1834:12.01.2022,11.01.2022,20,12.01.2022,08,03400721,2817,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1835:12.01.2022,11.01.2022,18,12.01.2022,14,09100203,1099,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1836:12.01.2022,11.01.2022,20,12.01.2022,08,03400721,2699,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1837:12.01.2022,11.01.2022,15,12.01.2022,07,01300733,600,Nein,diverse Fahrräder,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1838:12.01.2022,09.01.2022,21,10.01.2022,08,08100312,854,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1839:12.01.2022,09.01.2022,18,12.01.2022,10,11400929,1200,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1840:12.01.2022,11.01.2022,19,12.01.2022,09,01300730,1774,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1841:12.01.2022,11.01.2022,08,12.01.2022,11,06300632,849,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1842:12.01.2022,11.01.2022,17,12.01.2022,08,02300418,1059,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1843:12.01.2022,09.01.2022,20,10.01.2022,11,05100208,90,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1844:12.01.2022,12.01.2022,13,12.01.2022,14,06100103,1000,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1845:12.01.2022,08.01.2022,16,10.01.2022,12,03400721,330,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1846:12.01.2022,10.01.2022,08,10.01.2022,15,02100101,1000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1847:12.01.2022,12.01.2022,07,12.01.2022,15,10200421,2399,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1848:12.01.2022,09.01.2022,20,10.01.2022,07,03501037,1199,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1849:12.01.2022,11.01.2022,18,12.01.2022,06,05200423,499,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1850:12.01.2022,11.01.2022,11,12.01.2022,20,01401048,1174,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1851:12.01.2022,06.01.2022,08,06.01.2022,09,08100206,927,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1852:12.01.2022,06.01.2022,08,06.01.2022,09,08100206,560,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1853:12.01.2022,13.12.2021,09,13.12.2021,15,04200309,498,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1854:12.01.2022,23.12.2021,14,23.12.2021,14,06300526,500,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1855:12.01.2022,08.01.2021,17,08.01.2021,23,12500825,1118,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1856:12.01.2022,12.01.2022,15,12.01.2022,15,04501147,1100,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1857:12.01.2022,10.01.2022,16,10.01.2022,16,09501940,850,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
1858:12.01.2022,11.01.2022,15,11.01.2022,18,03100101,60,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1859:12.01.2022,11.01.2022,21,11.01.2022,23,02300315,3200,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1860:12.01.2022,11.01.2022,13,11.01.2022,21,06300526,3200,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1861:12.01.2022,31.12.2021,20,01.01.2022,10,03601451,750,Nein,Rennrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1862:12.01.2022,11.01.2022,16,11.01.2022,17,03601243,678,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1863:12.01.2022,11.01.2021,19,12.01.2021,10,12200413,400,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1864:11.01.2022,30.01.2021,16,30.01.2021,16,03100103,1169,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1865:11.01.2022,16.12.2021,09,16.12.2021,17,09100101,517,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1866:11.01.2022,10.01.2022,20,11.01.2022,08,07300517,388,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1867:11.01.2022,10.01.2022,22,11.01.2022,08,11401135,369,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1868:11.01.2022,10.01.2022,18,11.01.2022,09,08100417,1300,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1869:11.01.2022,08.01.2022,14,11.01.2022,10,03601348,2164,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1870:11.01.2022,09.01.2022,18,09.01.2022,20,03601243,635,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1871:11.01.2022,09.01.2022,18,11.01.2022,17,08100312,200,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1872:11.01.2022,09.01.2022,10,11.01.2022,18,03601452,629,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1873:11.01.2022,11.01.2022,16,11.01.2022,19,01300733,200,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1874:11.01.2022,11.01.2022,16,11.01.2022,18,08401139,699,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1875:11.01.2022,09.01.2022,21,09.01.2022,23,02500834,200,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1876:11.01.2022,10.01.2022,10,11.01.2022,13,01200628,540,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1877:11.01.2022,10.01.2022,18,11.01.2022,07,03601348,1106,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1878:11.01.2022,10.01.2022,22,11.01.2022,10,03601348,1050,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1879:11.01.2022,10.01.2022,21,11.01.2022,16,02500831,555,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1880:11.01.2022,10.01.2022,21,11.01.2022,16,02500831,0,Ja,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1881:11.01.2022,11.01.2022,15,11.01.2022,20,07400824,999,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1882:11.01.2022,11.01.2022,16,11.01.2022,17,01100310,900,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1883:11.01.2022,09.01.2022,13,11.01.2022,18,02400522,617,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1884:11.01.2022,09.01.2022,19,09.01.2022,22,07100101,543,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1885:11.01.2022,11.01.2022,13,11.01.2022,19,01100207,862,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1886:11.01.2022,11.01.2022,14,11.01.2022,17,10400836,840,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1887:11.01.2022,11.01.2022,14,11.01.2022,19,04501151,150,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1888:11.01.2022,10.01.2022,17,11.01.2022,07,07200409,1820,Nein,Herrenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
1889:11.01.2022,06.01.2022,16,06.01.2022,16,04501147,180,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1890:11.01.2022,06.01.2022,18,07.01.2022,12,01300730,750,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1891:11.01.2022,06.01.2022,15,07.01.2022,13,07200411,328,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1892:11.01.2022,07.01.2022,17,07.01.2022,17,01100310,1299,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1893:11.01.2022,07.01.2022,15,10.01.2022,10,09200613,949,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1894:11.01.2022,10.01.2022,13,10.01.2022,14,08100415,398,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1895:11.01.2022,08.01.2022,16,10.01.2022,14,08100102,512,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1896:11.01.2022,08.01.2022,17,10.01.2022,12,08100101,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1897:11.01.2022,09.01.2022,20,10.01.2022,18,01100308,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1898:11.01.2022,10.01.2022,08,10.01.2022,17,02100104,400,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1899:11.01.2022,10.01.2022,11,10.01.2022,19,04300416,480,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
1900:11.01.2022,10.01.2022,09,10.01.2022,13,01200517,1000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1901:11.01.2022,10.01.2022,09,10.01.2022,18,02300314,350,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1902:11.01.2022,10.01.2022,06,10.01.2022,15,09401433,799,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1903:11.01.2022,10.01.2022,05,10.01.2022,16,12500825,250,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1904:11.01.2022,10.01.2022,07,10.01.2022,11,02400625,699,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1905:11.01.2022,10.01.2022,10,10.01.2022,12,02200213,721,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1906:11.01.2022,10.01.2022,19,10.01.2022,20,11200410,3500,Nein,Herrenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
1907:11.01.2022,09.01.2022,18,11.01.2022,17,02200212,900,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1908:11.01.2022,10.01.2022,21,11.01.2022,07,04500939,574,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1909:11.01.2022,10.01.2022,16,11.01.2022,15,04400835,599,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1910:11.01.2022,11.01.2022,07,11.01.2022,15,03601453,464,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1911:11.01.2022,07.01.2022,18,08.01.2022,09,03701556,1400,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1912:11.01.2022,07.01.2022,20,08.01.2022,12,08100311,1084,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1913:11.01.2022,10.01.2022,21,11.01.2022,09,08100313,1999,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1914:11.01.2022,08.01.2022,10,08.01.2022,11,08100103,150,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
1915:11.01.2022,07.01.2022,19,08.01.2022,13,03601142,3249,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1916:11.01.2022,20.12.2021,16,21.12.2021,11,07300515,500,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1917:10.01.2022,07.01.2022,14,08.01.2022,16,06100207,500,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1918:10.01.2022,06.01.2022,16,08.01.2022,21,03701659,1200,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1919:10.01.2022,06.01.2022,08,06.01.2022,17,06400843,546,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1920:10.01.2022,08.01.2022,08,08.01.2022,11,03601245,775,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1921:10.01.2022,14.10.2021,21,14.10.2021,22,07100103,300,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1922:10.01.2022,01.11.2021,18,01.11.2021,18,06100103,699,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
