ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND
2314:31.12.2021,07.12.2021,19,08.12.2021,12,01100207,704,Nein,Damenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
2315:30.12.2021,23.11.2021,07,23.11.2021,15,12500927,700,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2316:30.12.2021,30.12.2021,03,30.12.2021,03,06100207,2706,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2317:30.12.2021,30.12.2021,10,30.12.2021,12,09200716,2612,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2318:30.12.2021,30.12.2021,13,30.12.2021,14,03400828,712,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2319:30.12.2021,29.12.2021,21,30.12.2021,14,03100101,224,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2320:30.12.2021,30.12.2021,07,30.12.2021,08,06100103,400,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2321:30.12.2021,30.12.2021,12,30.12.2021,12,03601243,1098,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2322:30.12.2021,29.12.2021,18,30.12.2021,10,09100101,492,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2323:30.12.2021,29.12.2021,21,30.12.2021,10,01401048,700,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2324:30.12.2021,30.12.2021,01,30.12.2021,12,05300737,100,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2325:30.12.2021,30.12.2021,12,30.12.2021,13,01300733,844,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2326:30.12.2021,08.11.2021,20,09.11.2021,07,04300624,999,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2327:30.12.2021,28.12.2021,15,30.12.2021,08,04300621,398,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2328:30.12.2021,29.12.2021,17,30.12.2021,13,11200514,450,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2329:30.12.2021,29.12.2021,19,30.12.2021,16,05300737,100,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2330:30.12.2021,29.12.2021,16,30.12.2021,12,03701658,399,Nein,Rennrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2331:30.12.2021,29.12.2021,13,30.12.2021,14,08100415,819,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2332:30.12.2021,29.12.2021,14,30.12.2021,13,04300619,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2333:30.12.2021,27.12.2021,18,29.12.2021,13,03701554,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2334:30.12.2021,29.12.2021,15,29.12.2021,17,02400623,1228,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2335:30.12.2021,29.12.2021,07,29.12.2021,18,07601544,200,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2336:30.12.2021,27.12.2021,14,29.12.2021,13,07400823,454,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2337:30.12.2021,22.12.2021,09,22.12.2021,17,01100308,1000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2338:30.12.2021,22.12.2021,14,22.12.2021,17,09501838,393,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2339:30.12.2021,30.12.2021,09,30.12.2021,15,06400838,722,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2340:30.12.2021,30.12.2021,09,30.12.2021,15,06400838,787,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2341:30.12.2021,29.12.2021,20,30.12.2021,02,01200519,2700,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2342:30.12.2021,29.12.2021,20,30.12.2021,07,02500834,855,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2343:30.12.2021,29.12.2021,22,30.12.2021,06,08100312,2000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2344:30.12.2021,29.12.2021,00,30.12.2021,03,06400839,387,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2345:30.12.2021,29.12.2021,11,30.12.2021,12,01100309,625,Nein,Damenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
2346:30.12.2021,29.12.2021,16,30.12.2021,16,01401046,300,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2347:30.12.2021,29.12.2021,16,30.12.2021,09,02200212,794,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2348:30.12.2021,21.12.2021,08,21.12.2021,15,06300634,500,Nein,Kinderfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
2349:30.12.2021,24.11.2021,16,24.11.2021,19,07601238,500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2350:30.12.2021,24.12.2021,09,24.12.2021,18,01100206,1499,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2351:30.12.2021,27.12.2021,17,30.12.2021,08,09100101,250,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2352:30.12.2021,27.12.2021,16,30.12.2021,15,02500831,1600,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2353:30.12.2021,29.12.2021,17,29.12.2021,17,04300413,850,Nein,Rennrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2354:29.12.2021,26.12.2021,15,29.12.2021,10,06100102,831,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2355:29.12.2021,29.12.2021,12,29.12.2021,12,02500728,1300,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2356:29.12.2021,21.12.2021,17,22.12.2021,10,03501037,300,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2357:29.12.2021,28.12.2021,19,29.12.2021,08,08100104,2024,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2358:29.12.2021,25.12.2021,11,26.12.2021,18,03701555,200,Nein,Kinderfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
2359:29.12.2021,25.12.2021,11,26.12.2021,18,03701555,421,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
2360:29.12.2021,26.12.2021,11,26.12.2021,17,06100209,450,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2361:29.12.2021,28.12.2021,16,28.12.2021,18,01100102,655,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2362:29.12.2021,28.12.2021,18,28.12.2021,20,12100206,691,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2363:29.12.2021,28.12.2021,08,28.12.2021,18,06200422,399,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2364:29.12.2021,19.06.2021,20,20.06.2021,09,01100311,579,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2365:29.12.2021,28.12.2021,19,28.12.2021,21,01401043,1125,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2366:29.12.2021,22.12.2021,16,22.12.2021,18,09501939,828,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2367:29.12.2021,28.12.2021,19,29.12.2021,08,03701555,900,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2368:29.12.2021,27.12.2021,16,29.12.2021,13,04300621,610,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2369:29.12.2021,27.12.2021,13,29.12.2021,09,01400942,810,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2370:29.12.2021,27.12.2021,13,29.12.2021,13,04300621,3299,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2371:29.12.2021,29.12.2021,12,29.12.2021,16,02500729,650,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2372:29.12.2021,29.12.2021,17,29.12.2021,19,01100309,809,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2373:29.12.2021,29.12.2021,00,29.12.2021,10,01200629,299,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2374:29.12.2021,27.12.2021,18,29.12.2021,06,03701554,1000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2375:29.12.2021,28.12.2021,12,29.12.2021,15,04300413,613,Nein,diverse Fahrräder,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
2376:29.12.2021,28.12.2021,19,29.12.2021,08,07100102,300,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2377:29.12.2021,28.12.2021,18,29.12.2021,09,08100417,1199,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2378:29.12.2021,21.12.2021,18,22.12.2021,09,09401534,459,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2379:29.12.2021,28.12.2021,20,29.12.2021,12,03601244,669,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2380:29.12.2021,28.12.2021,15,29.12.2021,18,01200520,550,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2381:29.12.2021,28.12.2021,19,29.12.2021,07,03701555,1100,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2382:29.12.2021,28.12.2021,22,29.12.2021,07,10200629,5000,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2383:29.12.2021,26.12.2021,19,29.12.2021,15,09501737,9588,Nein,Herrenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
2384:29.12.2021,22.12.2021,21,23.12.2021,00,02300419,1000,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
2385:29.12.2021,28.10.2021,09,28.10.2021,10,09301228,550,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2386:29.12.2021,29.12.2021,19,29.12.2021,19,08100310,1,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2387:29.12.2021,29.12.2021,21,29.12.2021,21,03601140,400,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
2388:29.12.2021,25.12.2021,15,27.12.2021,10,07200409,1461,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2389:29.12.2021,15.12.2021,13,15.12.2021,15,01100308,1331,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2390:29.12.2021,27.12.2021,10,27.12.2021,18,02500834,697,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2391:28.12.2021,27.12.2021,21,27.12.2021,22,09200613,1300,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2392:28.12.2021,25.12.2021,19,27.12.2021,09,04300413,1512,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2393:28.12.2021,27.12.2021,15,27.12.2021,16,01100310,928,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2394:28.12.2021,27.12.2021,17,27.12.2021,20,09100407,329,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2395:28.12.2021,27.12.2021,19,27.12.2021,20,03601139,964,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2396:28.12.2021,03.11.2021,17,04.11.2021,07,08100520,200,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2397:28.12.2021,18.12.2021,01,18.12.2021,10,04300622,516,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2398:28.12.2021,18.12.2021,01,18.12.2021,10,04300622,539,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2399:28.12.2021,28.12.2021,20,28.12.2021,20,04200207,500,Nein,Mountainbike,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
2400:28.12.2021,27.12.2021,22,27.12.2021,22,03601451,600,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2401:28.12.2021,03.10.2021,11,03.10.2021,11,06100101,659,Nein,Mountainbike,Fahrraddiebstahl,Einfacher Diebstahl aus Keller/Boden von Fahrrädern
2402:28.12.2021,29.10.2021,18,30.10.2021,10,08100419,280,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2403:28.12.2021,27.12.2021,19,28.12.2021,10,06100207,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2404:28.12.2021,13.12.2021,16,13.12.2021,16,11401135,313,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2405:28.12.2021,27.12.2021,16,28.12.2021,07,06100204,860,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2406:28.12.2021,26.12.2021,01,28.12.2021,14,04300621,1279,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2407:28.12.2021,27.12.2021,21,28.12.2021,09,01200522,699,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2408:28.12.2021,27.12.2021,17,28.12.2021,09,07100101,500,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2409:28.12.2021,20.12.2021,20,23.12.2021,05,07200409,599,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2410:28.12.2021,08.11.2021,16,08.11.2021,18,09200613,600,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2411:28.12.2021,28.12.2021,15,28.12.2021,16,02500729,944,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2412:28.12.2021,28.12.2021,08,28.12.2021,14,08100207,799,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2413:28.12.2021,28.12.2021,16,28.12.2021,16,01100310,4154,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2414:28.12.2021,28.12.2021,16,28.12.2021,17,07100101,499,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2415:28.12.2021,28.12.2021,08,28.12.2021,14,06300630,1350,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2416:28.12.2021,28.12.2021,11,28.12.2021,17,02200212,1153,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2417:28.12.2021,28.12.2021,13,28.12.2021,13,12200309,0,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2418:28.12.2021,28.12.2021,06,28.12.2021,14,06200421,3499,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2419:28.12.2021,28.12.2021,09,28.12.2021,10,06300526,700,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2420:28.12.2021,28.12.2021,04,28.12.2021,12,08401244,812,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2421:28.12.2021,20.12.2021,18,21.12.2021,12,04501042,1899,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2422:28.12.2021,26.11.2021,08,26.11.2021,14,07200413,196,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2423:28.12.2021,28.12.2021,10,28.12.2021,15,07400928,1500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2424:28.12.2021,27.12.2021,13,28.12.2021,19,08200727,770,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2425:28.12.2021,27.12.2021,22,28.12.2021,12,01400940,1151,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2426:28.12.2021,27.12.2021,21,28.12.2021,11,01100312,723,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2427:28.12.2021,24.12.2021,15,24.12.2021,21,02500726,869,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2428:28.12.2021,23.12.2021,17,24.12.2021,13,12200309,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2429:28.12.2021,23.12.2021,17,24.12.2021,13,12200309,559,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2430:28.12.2021,25.12.2021,10,26.12.2021,11,01300836,550,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2431:28.12.2021,09.12.2021,14,11.12.2021,10,03601453,932,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2432:27.12.2021,26.12.2021,12,26.12.2021,17,03701555,1000,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2433:27.12.2021,23.12.2021,18,26.12.2021,10,11400929,250,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
2434:27.12.2021,26.12.2021,09,26.12.2021,19,09200613,500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2435:27.12.2021,24.12.2021,18,26.12.2021,12,08100419,700,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2436:27.12.2021,10.12.2021,17,11.12.2021,10,11300722,2184,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2437:27.12.2021,26.12.2021,15,27.12.2021,15,02200208,499,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2438:27.12.2021,26.12.2021,15,27.12.2021,08,01300730,350,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2439:27.12.2021,19.12.2021,11,19.12.2021,23,08100105,699,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2440:27.12.2021,27.12.2021,14,27.12.2021,15,03400829,512,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2441:27.12.2021,22.12.2021,17,23.12.2021,09,02400520,400,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2442:27.12.2021,20.12.2021,19,20.12.2021,21,08100101,900,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2443:27.12.2021,21.12.2021,19,22.12.2021,09,06100102,900,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2444:27.12.2021,25.11.2021,05,25.11.2021,23,03601346,645,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2445:27.12.2021,22.12.2021,18,23.12.2021,10,02400623,827,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2446:27.12.2021,22.12.2021,12,23.12.2021,09,02100102,1500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2447:27.12.2021,27.12.2021,14,27.12.2021,14,06300526,800,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2448:27.12.2021,27.12.2021,12,27.12.2021,12,02300314,250,Nein,Mountainbike,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
2449:27.12.2021,27.12.2021,17,27.12.2021,17,03400723,50,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2450:27.12.2021,25.12.2021,15,27.12.2021,10,02300419,300,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2451:27.12.2021,27.12.2021,15,27.12.2021,16,07400927,880,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2452:27.12.2021,27.12.2021,13,27.12.2021,17,12400721,670,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2453:27.12.2021,27.12.2021,17,27.12.2021,18,01200625,700,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2454:27.12.2021,25.12.2021,16,27.12.2021,14,01200625,1078,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2455:27.12.2021,27.12.2021,08,27.12.2021,19,04200311,1000,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2456:27.12.2021,27.12.2021,21,27.12.2021,22,09200613,949,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2457:27.12.2021,26.12.2021,17,27.12.2021,20,08100314,110,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2458:27.12.2021,27.12.2021,00,27.12.2021,07,04300412,500,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2459:27.12.2021,25.12.2021,18,27.12.2021,09,02300316,1300,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
