ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND
2298:31.12.2021,30.12.2021,16,31.12.2021,06,11200514,2000,Nein,Mountainbike,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
2299:31.12.2021,30.12.2021,12,31.12.2021,10,08100310,699,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2300:31.12.2021,29.12.2021,23,31.12.2021,16,11501339,271,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2301:31.12.2021,29.12.2021,23,31.12.2021,16,11501339,350,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2302:31.12.2021,30.12.2021,15,31.12.2021,14,01100414,970,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2303:31.12.2021,30.12.2021,15,31.12.2021,10,06300527,280,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2304:31.12.2021,30.12.2021,15,31.12.2021,10,06300527,850,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2305:31.12.2021,28.12.2021,20,31.12.2021,17,03601142,720,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2306:31.12.2021,30.12.2021,20,31.12.2021,10,06400843,1600,Nein,diverse Fahrräder,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2307:31.12.2021,08.12.2021,16,09.12.2021,12,04300412,1500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2308:31.12.2021,31.12.2021,09,31.12.2021,15,01200623,700,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2309:31.12.2021,31.12.2021,12,31.12.2021,12,01300834,1800,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2310:31.12.2021,31.12.2021,08,31.12.2021,11,01200629,915,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2311:31.12.2021,26.12.2021,22,29.12.2021,16,02500830,469,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2312:31.12.2021,24.10.2021,12,24.10.2021,14,08100416,620,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
2313:31.12.2021,30.12.2021,10,30.12.2021,15,09501940,700,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
